bokeh,original
./train/bokeh/0.jpg,./train/original/0.jpg
./train/bokeh/1.jpg,./train/original/1.jpg
./train/bokeh/2.jpg,./train/original/2.jpg
./train/bokeh/3.jpg,./train/original/3.jpg
./train/bokeh/4.jpg,./train/original/4.jpg
./train/bokeh/5.jpg,./train/original/5.jpg
./train/bokeh/6.jpg,./train/original/6.jpg
./train/bokeh/7.jpg,./train/original/7.jpg
./train/bokeh/8.jpg,./train/original/8.jpg
./train/bokeh/9.jpg,./train/original/9.jpg
./train/bokeh/10.jpg,./train/original/10.jpg
./train/bokeh/11.jpg,./train/original/11.jpg
./train/bokeh/12.jpg,./train/original/12.jpg
./train/bokeh/13.jpg,./train/original/13.jpg
./train/bokeh/14.jpg,./train/original/14.jpg
./train/bokeh/15.jpg,./train/original/15.jpg
./train/bokeh/16.jpg,./train/original/16.jpg
./train/bokeh/17.jpg,./train/original/17.jpg
./train/bokeh/18.jpg,./train/original/18.jpg
./train/bokeh/19.jpg,./train/original/19.jpg
./train/bokeh/20.jpg,./train/original/20.jpg
./train/bokeh/21.jpg,./train/original/21.jpg
./train/bokeh/22.jpg,./train/original/22.jpg
./train/bokeh/23.jpg,./train/original/23.jpg
./train/bokeh/24.jpg,./train/original/24.jpg
./train/bokeh/25.jpg,./train/original/25.jpg
./train/bokeh/26.jpg,./train/original/26.jpg
./train/bokeh/27.jpg,./train/original/27.jpg
./train/bokeh/28.jpg,./train/original/28.jpg
./train/bokeh/29.jpg,./train/original/29.jpg
./train/bokeh/30.jpg,./train/original/30.jpg
./train/bokeh/31.jpg,./train/original/31.jpg
./train/bokeh/32.jpg,./train/original/32.jpg
./train/bokeh/33.jpg,./train/original/33.jpg
./train/bokeh/34.jpg,./train/original/34.jpg
./train/bokeh/35.jpg,./train/original/35.jpg
./train/bokeh/36.jpg,./train/original/36.jpg
./train/bokeh/37.jpg,./train/original/37.jpg
./train/bokeh/38.jpg,./train/original/38.jpg
./train/bokeh/39.jpg,./train/original/39.jpg
